"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Kavya_standing_outdoor_side","Kavya Outdoor Side","female","False","https://files2.heygen.ai/avatar/v3/8eac6460a57747359330bfcfa0abbe96_39670/preview_target.webp","https://files2.heygen.ai/avatar/v3/8eac6460a57747359330bfcfa0abbe96_39670/preview_video_target.mp4"
"Kavya_standing_outdoorsport_front","Kavya Outdoor Sport Front","female","False","https://files2.heygen.ai/avatar/v3/56470a9a70304e25a1f67f1b8d1d28d2_39380/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/56470a9a70304e25a1f67f1b8d1d28d2_39380/preview_video_talk_1.mp4"
"Kavya_standing_outdoorsport_side","Kavya Outdoor Sport Side","female","False","https://files2.heygen.ai/avatar/v3/37481bb8748940fb87ba3fcafaaa2539_39470/preview_target.webp","https://files2.heygen.ai/avatar/v3/37481bb8748940fb87ba3fcafaaa2539_39470/preview_video_target.mp4"
"Kavya_sitting_sofa_front","Kavya Sofa Front","female","False","https://files2.heygen.ai/avatar/v3/7ce2094fd02547ae8a859d72c1b5c5bc_39590/preview_target.webp","https://files2.heygen.ai/avatar/v3/7ce2094fd02547ae8a859d72c1b5c5bc_39590/preview_video_target.mp4"
"Kavya_sitting_sofa_side","Kavya Sofa Side","female","False","https://files2.heygen.ai/avatar/v3/23a34d8f91754a4d9855420362330358_39700/preview_target.webp","https://files2.heygen.ai/avatar/v3/23a34d8f91754a4d9855420362330358_39700/preview_video_target.mp4"
"Kelly_Blue_Shirt_Front","Kelly in Blue Shirt  (Front)","female","False","https://files2.heygen.ai/avatar/v3/7d810f2227674342ac60646c2434ad73_34380/preview_target.webp","https://files2.heygen.ai/avatar/v3/7d810f2227674342ac60646c2434ad73_34380/preview_video_target.mp4"
"Kelly_Blue_Shirt_Left","Kelly in Blue Shirt (Left)","female","False","https://files2.heygen.ai/avatar/v3/04980c3e031d44f1a255ee0320eb0e86_34390/preview_target.webp","https://files2.heygen.ai/avatar/v3/04980c3e031d44f1a255ee0320eb0e86_34390/preview_video_target.mp4"
"Kelly_Blue_Shirt_Right","Kelly in Blue Shirt (Right)","female","False","https://files2.heygen.ai/avatar/v3/cc36136a7fcf423ba1569f9d8523b226_34400/preview_target.webp","https://files2.heygen.ai/avatar/v3/cc36136a7fcf423ba1569f9d8523b226_34400/preview_video_target.mp4"
"Kelly_Doctor_Front","Kelly in Doctor (Front)","female","False","https://files2.heygen.ai/avatar/v3/022319a6924342cb9d20a55a2bb3ea5e_34380/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/022319a6924342cb9d20a55a2bb3ea5e_34380/preview_video_talk_2.mp4"
"Kelly_Doctor_Left","Kelly in Doctor (Left)","female","False","https://files2.heygen.ai/avatar/v3/2322f9adec6647d9a6c8fb20ca326204_34390/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/2322f9adec6647d9a6c8fb20ca326204_34390/preview_video_talk_2.mp4"
